City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,alibag,18.6411,72.8792,20.04,57,4,3.73,IN,1674432109
337,mehamn,71.0357,27.8492,2.97,75,90,12.35,NO,1674431781
338,buenos aires,-34.6132,-58.3772,30.82,44,0,3.6,AR,1674431497
339,north bend,43.4065,-124.2243,9.58,96,88,2.8,US,1674432110
340,yangjiang,21.85,111.9667,18.48,87,90,1.41,CN,1674432027
341,palmer,42.1584,-72.3287,3.12,82,100,3.09,US,1674431521
342,hofn,64.2539,-15.2082,0.97,59,10,7.0,IS,1674431748
343,shitanjing,39.2342,106.3439,-15.22,47,90,9.99,CN,1674432111
344,ucluelet,48.9329,-125.5528,6.16,85,96,0.94,CA,1674432091
345,srednekolymsk,67.45,153.6833,-41.4,99,100,1.12,RU,1674431939
346,hobyo,5.3505,48.5268,24.58,77,29,8.99,SO,1674431855
347,nova vicosa,-17.8919,-39.3719,25.75,89,100,4.85,BR,1674432112
348,mackay,-21.15,149.2,29.27,69,26,4.11,AU,1674432112
349,sorrento,40.626,14.3744,7.03,95,100,0.5,IT,1674432113
350,dwarka,22.2394,68.9678,18.22,44,0,7.24,IN,1674431573
351,high level,58.5169,-117.136,-14.89,98,9,0.46,CA,1674432022
352,baherden,38.4362,57.4316,-1.14,62,3,1.35,TM,1674431820
353,sur,22.5667,59.5289,18.69,54,29,5.73,OM,1674431931
354,upernavik,72.7868,-56.1549,-28.87,68,82,5.25,GL,1674432114
355,skelleftea,64.7507,20.9528,-6.8,100,7,2.57,SE,1674432114
356,helong,42.5397,128.9972,-15.73,91,94,1.05,CN,1674432114
357,chongwe,-15.3292,28.682,17.17,98,100,1.44,ZM,1674432115
358,balkhash,46.844,74.9804,-17.95,81,7,3.4,KZ,1674431764
359,bolivar,37.6145,-93.4105,2.54,89,100,3.91,US,1674432115
360,rubtsovsk,51.5,81.25,-14.67,68,100,10.27,RU,1674432116
361,cascais,38.6979,-9.4215,10.59,52,7,9.83,PT,1674431833
362,almeirim,-1.5233,-52.5817,23.92,92,48,2.87,BR,1674431971
363,coquimbo,-29.9533,-71.3436,18.29,82,7,2.49,CL,1674432116
364,mizdah,31.4451,12.9801,7.0,72,23,3.72,LY,1674431927
365,deputatskiy,69.3,139.9,-39.08,100,68,1.51,RU,1674431746
